,Timestamp,Station_ID,Station_Name,Value
77,2025-01-01T13:59:00+08:00,S60,Sentosa,29.4
78,2025-01-01T13:59:00+08:00,S50,Clementi Road,30.4
79,2025-01-01T13:59:00+08:00,S43,Kim Chuan Road,29.6
80,2025-01-01T13:59:00+08:00,S24,Upper Changi Road North,30.4
81,2025-01-01T13:59:00+08:00,S06,Paya Lebar,30.7
82,2025-01-01T13:59:00+08:00,S111,Scotts Road,30.5
83,2025-01-01T13:59:00+08:00,S121,Old Choa Chu Kang Road,30.0
84,2025-01-01T14:59:00+08:00,S109,Ang Mo Kio Avenue 5,28.9
85,2025-01-01T14:59:00+08:00,S106,Pulau Ubin,30.9
86,2025-01-01T14:59:00+08:00,S117,Banyan Road,29.5
87,2025-01-01T14:59:00+08:00,S107,East Coast Parkway,29.9
88,2025-01-01T14:59:00+08:00,S104,Woodlands Avenue 9,29.9
89,2025-01-01T14:59:00+08:00,S115,Tuas South Avenue 3,28.8
90,2025-01-01T14:59:00+08:00,S116,West Coast Highway,25.2
91,2025-01-01T14:59:00+08:00,S60,Sentosa,25.3
92,2025-01-01T14:59:00+08:00,S50,Clementi Road,26.1
93,2025-01-01T14:59:00+08:00,S43,Kim Chuan Road,28.4
94,2025-01-01T14:59:00+08:00,S24,Upper Changi Road North,30.4
95,2025-01-01T14:59:00+08:00,S06,Paya Lebar,29.1
96,2025-01-01T14:59:00+08:00,S111,Scotts Road,25.6
97,2025-01-01T14:59:00+08:00,S121,Old Choa Chu Kang Road,28.4
98,2025-01-01T15:59:00+08:00,S109,Ang Mo Kio Avenue 5,28.0
99,2025-01-01T15:59:00+08:00,S106,Pulau Ubin,30.4
100,2025-01-01T15:59:00+08:00,S117,Banyan Road,29.6
101,2025-01-01T15:59:00+08:00,S107,East Coast Parkway,28.7
102,2025-01-01T15:59:00+08:00,S104,Woodlands Avenue 9,24.6
103,2025-01-01T15:59:00+08:00,S115,Tuas South Avenue 3,28.4
104,2025-01-01T15:59:00+08:00,S116,West Coast Highway,28.2
105,2025-01-01T15:59:00+08:00,S60,Sentosa,28.7
106,2025-01-01T15:59:00+08:00,S50,Clementi Road,27.5
107,2025-01-01T15:59:00+08:00,S43,Kim Chuan Road,30.2
108,2025-01-01T15:59:00+08:00,S24,Upper Changi Road North,30.4
109,2025-01-01T15:59:00+08:00,S06,Paya Lebar,30.1
110,2025-01-01T15:59:00+08:00,S111,Scotts Road,27.2
111,2025-01-01T15:59:00+08:00,S121,Old Choa Chu Kang Road,26.5
112,2025-01-01T16:59:00+08:00,S109,Ang Mo Kio Avenue 5,25.2
113,2025-01-01T16:59:00+08:00,S106,Pulau Ubin,27.0
114,2025-01-01T16:59:00+08:00,S117,Banyan Road,29.6
115,2025-01-01T16:59:00+08:00,S107,East Coast Parkway,26.0
116,2025-01-01T16:59:00+08:00,S104,Woodlands Avenue 9,24.8
117,2025-01-01T16:59:00+08:00,S115,Tuas South Avenue 3,29.2
118,2025-01-01T16:59:00+08:00,S116,West Coast Highway,28.9
119,2025-01-01T16:59:00+08:00,S60,Sentosa,29.2
120,2025-01-01T16:59:00+08:00,S50,Clementi Road,27.6
121,2025-01-01T16:59:00+08:00,S43,Kim Chuan Road,27.3
122,2025-01-01T16:59:00+08:00,S24,Upper Changi Road North,26.9
123,2025-01-01T16:59:00+08:00,S06,Paya Lebar,26.4
124,2025-01-01T16:59:00+08:00,S111,Scotts Road,28.1
125,2025-01-01T16:59:00+08:00,S121,Old Choa Chu Kang Road,27.9
126,2025-01-01T17:59:00+08:00,S109,Ang Mo Kio Avenue 5,26.5
127,2025-01-01T17:59:00+08:00,S106,Pulau Ubin,26.6
128,2025-01-01T17:59:00+08:00,S117,Banyan Road,29.8
129,2025-01-01T17:59:00+08:00,S107,East Coast Parkway,27.0
130,2025-01-01T17:59:00+08:00,S104,Woodlands Avenue 9,27.3
131,2025-01-01T17:59:00+08:00,S115,Tuas South Avenue 3,29.3
132,2025-01-01T17:59:00+08:00,S116,West Coast Highway,28.6
133,2025-01-01T17:59:00+08:00,S60,Sentosa,28.3
134,2025-01-01T17:59:00+08:00,S50,Clementi Road,28.4
135,2025-01-01T17:59:00+08:00,S43,Kim Chuan Road,27.6
136,2025-01-01T17:59:00+08:00,S24,Upper Changi Road North,26.7
137,2025-01-01T17:59:00+08:00,S06,Paya Lebar,27.1
138,2025-01-01T17:59:00+08:00,S111,Scotts Road,27.5
139,2025-01-01T17:59:00+08:00,S121,Old Choa Chu Kang Road,27.7
140,2025-01-02T08:59:00+08:00,S109,Ang Mo Kio Avenue 5,26.7
141,2025-01-02T08:59:00+08:00,S106,Pulau Ubin,27.1
142,2025-01-02T08:59:00+08:00,S117,Banyan Road,27.5
143,2025-01-02T08:59:00+08:00,S107,East Coast Parkway,27.5
144,2025-01-02T08:59:00+08:00,S104,Woodlands Avenue 9,27.3
145,2025-01-02T08:59:00+08:00,S115,Tuas South Avenue 3,27.0
146,2025-01-02T08:59:00+08:00,S116,West Coast Highway,27.3
147,2025-01-02T08:59:00+08:00,S60,Sentosa,28.5
148,2025-01-02T08:59:00+08:00,S50,Clementi Road,26.9
149,2025-01-02T08:59:00+08:00,S43,Kim Chuan Road,27.4
150,2025-01-02T08:59:00+08:00,S24,Upper Changi Road North,27.7
151,2025-01-02T08:59:00+08:00,S06,Paya Lebar,27.5
152,2025-01-02T08:59:00+08:00,S111,Scotts Road,26.7
153,2025-01-02T08:59:00+08:00,S121,Old Choa Chu Kang Road,26.8
154,2025-01-02T09:59:00+08:00,S109,Ang Mo Kio Avenue 5,28.2
155,2025-01-02T09:59:00+08:00,S106,Pulau Ubin,28.8
156,2025-01-02T09:59:00+08:00,S117,Banyan Road,29.1
157,2025-01-02T09:59:00+08:00,S107,East Coast Parkway,28.4
158,2025-01-02T09:59:00+08:00,S104,Woodlands Avenue 9,28.8
159,2025-01-02T09:59:00+08:00,S115,Tuas South Avenue 3,27.8
160,2025-01-02T09:59:00+08:00,S116,West Coast Highway,28.3
161,2025-01-02T09:59:00+08:00,S60,Sentosa,29.7
162,2025-01-02T09:59:00+08:00,S50,Clementi Road,28.2
163,2025-01-02T09:59:00+08:00,S43,Kim Chuan Road,28.3
164,2025-01-02T09:59:00+08:00,S24,Upper Changi Road North,28.7
